repayment_id,transaction_id,retailer_id,order_date,due_date,payment_date,amount_due,amount_paid,days_late,payment_status
REP_00000053,TXN_00000053,RTL_000013,2024-12-25,2025-01-24,2025-01-28,13408,13408,4,Paid (Slight Delay)
REP_00000054,TXN_00000054,RTL_000013,2024-12-25,2025-01-24,2025-01-28,12139,12139,4,Paid (Slight Delay)
REP_00000055,TXN_00000055,RTL_000014,2024-09-18,2024-10-18,2024-11-06,4000,4000,19,Paid Late
REP_00000056,TXN_00000056,RTL_000014,2024-09-30,2024-10-30,2024-11-16,7702,7702,17,Paid Late
REP_00000057,TXN_00000057,RTL_000014,2024-10-22,2024-11-21,2024-11-29,4647,4647,8,Paid Late
REP_00000058,TXN_00000058,RTL_000014,2024-11-17,2024-12-17,2024-12-26,5839,5839,9,Paid Late
REP_00000059,TXN_00000059,RTL_000014,2024-12-09,2025-01-08,2025-01-22,3917,3917,14,Paid Late
REP_00000060,TXN_00000060,RTL_000014,2024-12-20,2025-01-19,2025-02-05,8299,8299,17,Paid Late
REP_00000061,TXN_00000061,RTL_000014,2024-12-25,2025-01-24,2025-02-13,5919,5919,20,Paid Late
REP_00000062,TXN_00000062,RTL_000017,2024-08-06,2024-09-05,2024-09-13,4729,4729,8,Paid Late
REP_00000063,TXN_00000063,RTL_000017,2024-08-18,2024-09-17,2024-10-01,4357,4357,14,Paid Late
REP_00000064,TXN_00000064,RTL_000017,2024-09-17,2024-10-17,2024-10-24,4539,4539,7,Paid (Slight Delay)
REP_00000065,TXN_00000065,RTL_000017,2024-09-29,2024-10-29,2024-11-13,5176,5176,15,Paid Late
REP_00000066,TXN_00000066,RTL_000020,2024-09-17,2024-10-17,2024-10-18,24650,24650,1,Paid (Slight Delay)
REP_00000067,TXN_00000067,RTL_000020,2024-09-17,2024-10-17,2024-10-19,35655,35655,2,Paid (Slight Delay)
REP_00000068,TXN_00000068,RTL_000020,2024-09-20,2024-10-20,2024-10-21,25212,25212,1,Paid (Slight Delay)
REP_00000069,TXN_00000069,RTL_000020,2024-09-25,2024-10-25,2024-10-25,16412,16412,0,Paid On Time
REP_00000070,TXN_00000070,RTL_000020,2024-10-16,2024-11-15,2024-11-17,26696,26696,2,Paid (Slight Delay)
REP_00000071,TXN_00000071,RTL_000020,2024-10-28,2024-11-27,2024-11-27,14245,14245,0,Paid On Time
REP_00000072,TXN_00000072,RTL_000020,2024-11-01,2024-12-01,2024-12-01,26637,26637,0,Paid On Time
REP_00000073,TXN_00000073,RTL_000020,2024-11-14,2024-12-14,2024-12-15,15684,15684,1,Paid (Slight Delay)
REP_00000074,TXN_00000074,RTL_000020,2024-11-30,2024-12-30,2025-01-01,34542,34542,2,Paid (Slight Delay)
REP_00000075,TXN_00000075,RTL_000020,2024-12-02,2025-01-01,2025-01-03,24932,24932,2,Paid (Slight Delay)
REP_00000076,TXN_00000076,RTL_000020,2024-12-02,2025-01-01,2025-01-02,35678,35678,1,Paid (Slight Delay)
REP_00000077,TXN_00000077,RTL_000020,2024-12-04,2025-01-03,2025-01-05,25716,25716,2,Paid (Slight Delay)
REP_00000078,TXN_00000078,RTL_000020,2024-12-10,2025-01-09,2025-01-10,17155,17155,1,Paid (Slight Delay)
REP_00000079,TXN_00000079,RTL_000020,2024-12-11,2025-01-10,2025-01-11,15814,15814,1,Paid (Slight Delay)
REP_00000080,TXN_00000080,RTL_000020,2024-12-27,2025-01-26,2025-01-26,14561,14561,0,Paid On Time
REP_00000081,TXN_00000081,RTL_000023,2024-11-04,2024-12-04,2024-12-05,13266,13266,1,Paid (Slight Delay)
REP_00000082,TXN_00000082,RTL_000023,2024-11-04,2024-12-04,2024-12-04,12498,12498,0,Paid On Time
REP_00000083,TXN_00000083,RTL_000023,2024-11-05,2024-12-05,2024-12-05,16859,16859,0,Paid On Time
REP_00000084,TXN_00000084,RTL_000023,2024-11-20,2024-12-20,2024-12-21,15571,15571,1,Paid (Slight Delay)
REP_00000085,TXN_00000085,RTL_000023,2024-11-22,2024-12-22,2024-12-22,9956,9956,0,Paid On Time
REP_00000086,TXN_00000086,RTL_000023,2024-11-22,2024-12-22,2024-12-24,11655,11655,2,Paid (Slight Delay)
REP_00000087,TXN_00000087,RTL_000023,2024-12-01,2024-12-31,2024-12-31,12426,12426,0,Paid On Time
REP_00000088,TXN_00000088,RTL_000023,2024-12-01,2024-12-31,2024-12-31,15614,15614,0,Paid On Time
REP_00000089,TXN_00000089,RTL_000023,2024-12-02,2025-01-01,2025-01-01,13326,13326,0,Paid On Time
REP_00000090,TXN_00000090,RTL_000023,2024-12-06,2025-01-05,2025-01-05,19180,19180,0,Paid On Time
REP_00000091,TXN_00000091,RTL_000023,2024-12-08,2025-01-07,2025-01-07,8661,8661,0,Paid On Time
REP_00000092,TXN_00000092,RTL_000023,2024-12-13,2025-01-12,2025-01-14,14468,14468,2,Paid (Slight Delay)
REP_00000093,TXN_00000093,RTL_000023,2024-12-14,2025-01-13,2025-01-13,10534,10534,0,Paid On Time
REP_00000094,TXN_00000094,RTL_000023,2024-12-17,2025-01-16,2025-01-18,19909,19909,2,Paid (Slight Delay)
REP_00000095,TXN_00000095,RTL_000023,2024-12-22,2025-01-21,2025-01-22,12988,12988,1,Paid (Slight Delay)
REP_00000096,TXN_00000096,RTL_000023,2024-12-23,2025-01-22,2025-01-22,10574,10574,0,Paid On Time
REP_00000097,TXN_00000097,RTL_000023,2024-12-26,2025-01-25,2025-01-25,12359,12359,0,Paid On Time
REP_00000098,TXN_00000098,RTL_000023,2024-12-27,2025-01-26,2025-01-28,8243,8243,2,Paid (Slight Delay)
REP_00000099,TXN_00000099,RTL_000023,2024-12-29,2025-01-28,2025-01-28,5637,5637,0,Paid On Time
REP_00000100,TXN_00000100,RTL_000027,2024-09-30,2024-10-30,2024-11-01,14654,14654,2,Paid (Slight Delay)
REP_00000101,TXN_00000101,RTL_000027,2024-10-06,2024-11-05,2024-11-07,17023,17023,2,Paid (Slight Delay)
REP_00000102,TXN_00000102,RTL_000027,2024-10-12,2024-11-11,2024-11-12,16343,16343,1,Paid (Slight Delay)
REP_00000103,TXN_00000103,RTL_000027,2024-10-21,2024-11-20,2024-11-22,22773,22773,2,Paid (Slight Delay)
REP_00000104,TXN_00000104,RTL_000027,2024-10-21,2024-11-20,2024-11-22,20912,20912,2,Paid (Slight Delay)
REP_00000105,TXN_00000105,RTL_000027,2024-10-31,2024-11-30,2024-12-01,9969,9969,1,Paid (Slight Delay)
REP_00000106,TXN_00000106,RTL_000027,2024-11-01,2024-12-01,2024-12-01,14146,14146,0,Paid On Time
REP_00000107,TXN_00000107,RTL_000027,2024-11-10,2024-12-10,2024-12-10,15841,15841,0,Paid On Time
REP_00000108,TXN_00000108,RTL_000027,2024-11-15,2024-12-15,2024-12-17,6665,6665,2,Paid (Slight Delay)
REP_00000109,TXN_00000109,RTL_000027,2024-11-17,2024-12-17,2024-12-18,15956,15956,1,Paid (Slight Delay)
REP_00000110,TXN_00000110,RTL_000027,2024-11-19,2024-12-19,2024-12-20,17141,17141,1,Paid (Slight Delay)
REP_00000111,TXN_00000111,RTL_000027,2024-11-21,2024-12-21,2024-12-22,21410,21410,1,Paid (Slight Delay)
REP_00000112,TXN_00000112,RTL_000027,2024-11-21,2024-12-21,2024-12-22,15999,15999,1,Paid (Slight Delay)
REP_00000113,TXN_00000113,RTL_000027,2024-11-22,2024-12-22,2024-12-23,12667,12667,1,Paid (Slight Delay)
REP_00000114,TXN_00000114,RTL_000027,2024-11-24,2024-12-24,2024-12-26,6851,6851,2,Paid (Slight Delay)
REP_00000115,TXN_00000115,RTL_000027,2024-11-25,2024-12-25,2024-12-26,15064,15064,1,Paid (Slight Delay)
REP_00000116,TXN_00000116,RTL_000027,2024-11-30,2024-12-30,2024-12-30,5530,5530,0,Paid On Time
REP_00000117,TXN_00000117,RTL_000027,2024-12-04,2025-01-03,2025-01-03,10120,10120,0,Paid On Time
REP_00000118,TXN_00000118,RTL_000027,2024-12-07,2025-01-06,2025-01-08,8002,8002,2,Paid (Slight Delay)
REP_00000119,TXN_00000119,RTL_000027,2024-12-08,2025-01-07,2025-01-09,17457,17457,2,Paid (Slight Delay)
REP_00000120,TXN_00000120,RTL_000027,2024-12-11,2025-01-10,2025-01-12,13055,13055,2,Paid (Slight Delay)
REP_00000121,TXN_00000121,RTL_000027,2024-12-13,2025-01-12,2025-01-13,13592,13592,1,Paid (Slight Delay)
REP_00000122,TXN_00000122,RTL_000027,2024-12-16,2025-01-15,2025-01-17,11771,11771,2,Paid (Slight Delay)
REP_00000123,TXN_00000123,RTL_000027,2024-12-17,2025-01-16,2025-01-18,19247,19247,2,Paid (Slight Delay)
REP_00000124,TXN_00000124,RTL_000027,2024-12-20,2025-01-19,2025-01-20,11021,11021,1,Paid (Slight Delay)
REP_00000125,TXN_00000125,RTL_000027,2024-12-24,2025-01-23,2025-01-23,7967,7967,0,Paid On Time
REP_00000126,TXN_00000126,RTL_000027,2024-12-25,2025-01-24,2025-01-24,14351,14351,0,Paid On Time
REP_00000127,TXN_00000127,RTL_000027,2024-12-28,2025-01-27,2025-01-27,16718,16718,0,Paid On Time
REP_00000128,TXN_00000128,RTL_000028,2024-12-15,2025-01-14,2025-02-09,3022,3022,26,Paid Late
REP_00000129,TXN_00000129,RTL_000028,2024-12-26,2025-01-25,2025-02-26,4199,4199,32,Paid Late
REP_00000130,TXN_00000130,RTL_000031,2024-09-20,2024-10-20,2024-10-21,22657,22657,1,Paid (Slight Delay)
REP_00000131,TXN_00000131,RTL_000031,2024-10-05,2024-11-04,2024-11-05,27513,27513,1,Paid (Slight Delay)
REP_00000132,TXN_00000132,RTL_000031,2024-10-05,2024-11-04,2024-11-06,26190,26190,2,Paid (Slight Delay)
REP_00000133,TXN_00000133,RTL_000031,2024-10-11,2024-11-10,2024-11-11,17812,17812,1,Paid (Slight Delay)
REP_00000134,TXN_00000134,RTL_000031,2024-10-12,2024-11-11,2024-11-11,12323,12323,0,Paid On Time
REP_00000135,TXN_00000135,RTL_000031,2024-10-16,2024-11-15,2024-11-17,17559,17559,2,Paid (Slight Delay)
REP_00000136,TXN_00000136,RTL_000031,2024-10-17,2024-11-16,2024-11-18,22582,22582,2,Paid (Slight Delay)
REP_00000137,TXN_00000137,RTL_000031,2024-10-19,2024-11-18,2024-11-18,16404,16404,0,Paid On Time
REP_00000138,TXN_00000138,RTL_000031,2024-10-21,2024-11-20,2024-11-22,10867,10867,2,Paid (Slight Delay)
REP_00000139,TXN_00000139,RTL_000031,2024-10-25,2024-11-24,2024-11-25,19116,19116,1,Paid (Slight Delay)
REP_00000140,TXN_00000140,RTL_000031,2024-10-26,2024-11-25,2024-11-26,13440,13440,1,Paid (Slight Delay)
REP_00000141,TXN_00000141,RTL_000031,2024-10-28,2024-11-27,2024-11-29,16975,16975,2,Paid (Slight Delay)
REP_00000142,TXN_00000142,RTL_000031,2024-11-01,2024-12-01,2024-12-01,11077,11077,0,Paid On Time
REP_00000143,TXN_00000143,RTL_000031,2024-11-09,2024-12-09,2024-12-09,18376,18376,0,Paid On Time
REP_00000144,TXN_00000144,RTL_000031,2024-11-09,2024-12-09,2024-12-11,10997,10997,2,Paid (Slight Delay)
REP_00000145,TXN_00000145,RTL_000031,2024-11-11,2024-12-11,2024-12-12,16605,16605,1,Paid (Slight Delay)
REP_00000146,TXN_00000146,RTL_000031,2024-11-12,2024-12-12,2024-12-13,13916,13916,1,Paid (Slight Delay)
REP_00000147,TXN_00000147,RTL_000031,2024-11-18,2024-12-18,2024-12-19,21407,21407,1,Paid (Slight Delay)
REP_00000148,TXN_00000148,RTL_000031,2024-11-27,2024-12-27,2024-12-28,20631,20631,1,Paid (Slight Delay)
REP_00000149,TXN_00000149,RTL_000031,2024-12-04,2025-01-03,2025-01-04,17864,17864,1,Paid (Slight Delay)
REP_00000150,TXN_00000150,RTL_000031,2024-12-06,2025-01-05,2025-01-06,21816,21816,1,Paid (Slight Delay)
REP_00000151,TXN_00000151,RTL_000031,2024-12-12,2025-01-11,2025-01-11,26050,26050,0,Paid On Time
REP_00000152,TXN_00000152,RTL_000031,2024-12-22,2025-01-21,2025-01-21,14765,14765,0,Paid On Time
REP_00000153,TXN_00000153,RTL_000031,2024-12-28,2025-01-27,2025-01-29,23768,23768,2,Paid (Slight Delay)
REP_00000154,TXN_00000154,RTL_000033,2024-12-10,2025-01-09,,3548,0,354,Defaulted
REP_00000155,TXN_00000155,RTL_000033,2024-12-15,2025-01-14,,2198,0,349,Defaulted
REP_00000156,TXN_00000156,RTL_000033,2024-12-20,2025-01-19,2025-04-24,4927,3977,95,Partially Paid
REP_00000157,TXN_00000157,RTL_000035,2024-08-19,2024-09-18,2024-10-23,4491,4491,35,Paid Late
REP_00000158,TXN_00000158,RTL_000035,2024-09-12,2024-10-12,2024-11-01,3032,3032,20,Paid Late
REP_00000159,TXN_00000159,RTL_000037,2024-12-30,2025-01-29,2025-02-02,5891,5891,4,Paid (Slight Delay)
REP_00000160,TXN_00000160,RTL_000037,2024-12-30,2025-01-29,2025-02-04,5046,5046,6,Paid (Slight Delay)
REP_00000161,TXN_00000161,RTL_000037,2024-12-30,2025-01-29,2025-01-30,7509,7509,1,Paid (Slight Delay)
REP_00000162,TXN_00000162,RTL_000037,2024-12-30,2025-01-29,2025-02-02,6376,6376,4,Paid (Slight Delay)
REP_00000163,TXN_00000163,RTL_000037,2024-12-30,2025-01-29,2025-01-31,6256,6256,2,Paid (Slight Delay)
REP_00000164,TXN_00000164,RTL_000037,2024-12-30,2025-01-29,2025-01-30,8399,8399,1,Paid (Slight Delay)
REP_00000165,TXN_00000165,RTL_000037,2024-12-30,2025-01-29,2025-01-31,6284,6284,2,Paid (Slight Delay)
REP_00000166,TXN_00000166,RTL_000037,2024-12-30,2025-01-29,2025-01-30,5330,5330,1,Paid (Slight Delay)
REP_00000167,TXN_00000167,RTL_000037,2024-12-30,2025-01-29,2025-02-02,5952,5952,4,Paid (Slight Delay)
REP_00000168,TXN_00000168,RTL_000037,2024-12-30,2025-01-29,2025-02-01,5676,5676,3,Paid (Slight Delay)
REP_00000169,TXN_00000169,RTL_000037,2024-12-30,2025-01-29,2025-02-01,3681,3681,3,Paid (Slight Delay)
REP_00000170,TXN_00000170,RTL_000037,2024-12-30,2025-01-29,2025-02-04,5349,5349,6,Paid (Slight Delay)
REP_00000171,TXN_00000171,RTL_000037,2024-12-30,2025-01-29,2025-02-02,4602,4602,4,Paid (Slight Delay)
REP_00000172,TXN_00000172,RTL_000038,2024-08-29,2024-09-28,2024-09-29,4195,4195,1,Paid (Slight Delay)
REP_00000173,TXN_00000173,RTL_000038,2024-09-06,2024-10-06,2024-10-06,10104,10104,0,Paid On Time
REP_00000174,TXN_00000174,RTL_000038,2024-09-09,2024-10-09,2024-10-11,11981,11981,2,Paid (Slight Delay)
REP_00000175,TXN_00000175,RTL_000038,2024-09-20,2024-10-20,2024-10-21,11792,11792,1,Paid (Slight Delay)
REP_00000176,TXN_00000176,RTL_000038,2024-09-24,2024-10-24,2024-10-24,11476,11476,0,Paid On Time
REP_00000177,TXN_00000177,RTL_000038,2024-09-26,2024-10-26,2024-10-26,8204,8204,0,Paid On Time
REP_00000178,TXN_00000178,RTL_000038,2024-09-28,2024-10-28,2024-10-28,9599,9599,0,Paid On Time
REP_00000179,TXN_00000179,RTL_000038,2024-09-29,2024-10-29,2024-10-29,11860,11860,0,Paid On Time
REP_00000180,TXN_00000180,RTL_000038,2024-10-04,2024-11-03,2024-11-05,9296,9296,2,Paid (Slight Delay)
REP_00000181,TXN_00000181,RTL_000038,2024-10-07,2024-11-06,2024-11-08,12489,12489,2,Paid (Slight Delay)
REP_00000182,TXN_00000182,RTL_000038,2024-10-14,2024-11-13,2024-11-14,10539,10539,1,Paid (Slight Delay)
REP_00000183,TXN_00000183,RTL_000038,2024-10-15,2024-11-14,2024-11-15,8873,8873,1,Paid (Slight Delay)
REP_00000184,TXN_00000184,RTL_000038,2024-10-18,2024-11-17,2024-11-19,12827,12827,2,Paid (Slight Delay)
REP_00000185,TXN_00000185,RTL_000038,2024-10-19,2024-11-18,2024-11-18,7601,7601,0,Paid On Time
REP_00000186,TXN_00000186,RTL_000038,2024-10-23,2024-11-22,2024-11-22,8284,8284,0,Paid On Time
REP_00000187,TXN_00000187,RTL_000038,2024-10-26,2024-11-25,2024-11-26,11022,11022,1,Paid (Slight Delay)
REP_00000188,TXN_00000188,RTL_000038,2024-11-02,2024-12-02,2024-12-04,10110,10110,2,Paid (Slight Delay)
REP_00000189,TXN_00000189,RTL_000038,2024-11-03,2024-12-03,2024-12-05,5394,5394,2,Paid (Slight Delay)
REP_00000190,TXN_00000190,RTL_000038,2024-11-10,2024-12-10,2024-12-12,10810,10810,2,Paid (Slight Delay)
REP_00000191,TXN_00000191,RTL_000038,2024-11-22,2024-12-22,2024-12-23,9754,9754,1,Paid (Slight Delay)
REP_00000192,TXN_00000192,RTL_000038,2024-11-23,2024-12-23,2024-12-23,10675,10675,0,Paid On Time
REP_00000193,TXN_00000193,RTL_000038,2024-12-01,2024-12-31,2025-01-01,5136,5136,1,Paid (Slight Delay)
REP_00000194,TXN_00000194,RTL_000038,2024-12-02,2025-01-01,2025-01-01,5488,5488,0,Paid On Time
REP_00000195,TXN_00000195,RTL_000038,2024-12-03,2025-01-02,2025-01-02,18834,18834,0,Paid On Time
REP_00000196,TXN_00000196,RTL_000038,2024-12-10,2025-01-09,2025-01-11,11639,11639,2,Paid (Slight Delay)
REP_00000197,TXN_00000197,RTL_000038,2024-12-14,2025-01-13,2025-01-14,9150,9150,1,Paid (Slight Delay)
REP_00000198,TXN_00000198,RTL_000038,2024-12-17,2025-01-16,2025-01-17,9847,9847,1,Paid (Slight Delay)
REP_00000199,TXN_00000199,RTL_000038,2024-12-25,2025-01-24,2025-01-25,18531,18531,1,Paid (Slight Delay)
REP_00000200,TXN_00000200,RTL_000038,2024-12-26,2025-01-25,2025-01-26,18095,18095,1,Paid (Slight Delay)
REP_00000201,TXN_00000201,RTL_000040,2024-10-08,2024-11-07,2024-11-13,6478,6478,6,Paid (Slight Delay)
REP_00000202,TXN_00000202,RTL_000040,2024-10-24,2024-11-23,2024-11-26,4839,4839,3,Paid (Slight Delay)
REP_00000203,TXN_00000203,RTL_000040,2024-10-27,2024-11-26,2024-12-04,1776,1776,8,Paid Late
REP_00000204,TXN_00000204,RTL_000040,2024-11-11,2024-12-11,2024-12-15,4864,4864,4,Paid (Slight Delay)
REP_00000205,TXN_00000205,RTL_000040,2024-11-14,2024-12-14,2024-12-24,4931,4931,10,Paid Late
REP_00000206,TXN_00000206,RTL_000040,2024-11-24,2024-12-24,2024-12-28,4004,4004,4,Paid (Slight Delay)
REP_00000207,TXN_00000207,RTL_000040,2024-11-28,2024-12-28,2025-01-01,5972,5972,4,Paid (Slight Delay)
REP_00000208,TXN_00000208,RTL_000040,2024-12-03,2025-01-02,2025-01-10,2677,2677,8,Paid Late
REP_00000209,TXN_00000209,RTL_000040,2024-12-19,2025-01-18,2025-01-22,5301,5301,4,Paid (Slight Delay)
REP_00000210,TXN_00000210,RTL_000040,2024-12-21,2025-01-20,2025-01-27,2528,2528,7,Paid (Slight Delay)
REP_00000211,TXN_00000211,RTL_000040,2024-12-25,2025-01-24,2025-02-01,5006,5006,8,Paid Late
REP_00000212,TXN_00000212,RTL_000048,2024-11-18,2024-12-18,2024-12-22,15665,15665,4,Paid (Slight Delay)
REP_00000213,TXN_00000213,RTL_000048,2024-11-22,2024-12-22,2024-12-23,10949,10949,1,Paid (Slight Delay)
REP_00000214,TXN_00000214,RTL_000048,2024-11-24,2024-12-24,2024-12-29,5319,5319,5,Paid (Slight Delay)
REP_00000215,TXN_00000215,RTL_000048,2024-12-01,2024-12-31,2025-01-01,8691,8691,1,Paid (Slight Delay)
REP_00000216,TXN_00000216,RTL_000048,2024-12-08,2025-01-07,2025-01-07,8504,8504,0,Paid On Time
REP_00000217,TXN_00000217,RTL_000048,2024-12-09,2025-01-08,2025-01-13,7261,7261,5,Paid (Slight Delay)
REP_00000218,TXN_00000218,RTL_000048,2024-12-09,2025-01-08,2025-01-11,8371,8371,3,Paid (Slight Delay)
REP_00000219,TXN_00000219,RTL_000048,2024-12-10,2025-01-09,2025-01-15,4003,4003,6,Paid (Slight Delay)
REP_00000220,TXN_00000220,RTL_000048,2024-12-15,2025-01-14,2025-01-15,13481,13481,1,Paid (Slight Delay)
REP_00000221,TXN_00000221,RTL_000048,2024-12-26,2025-01-25,2025-01-25,6494,6494,0,Paid On Time
REP_00000222,TXN_00000222,RTL_000048,2024-12-28,2025-01-27,2025-02-02,11196,11196,6,Paid (Slight Delay)
REP_00000223,TXN_00000223,RTL_000053,2024-10-27,2024-11-26,2024-12-07,9359,9359,11,Paid Late
REP_00000224,TXN_00000224,RTL_000053,2024-10-28,2024-11-27,2024-12-09,8445,8445,12,Paid Late
REP_00000225,TXN_00000225,RTL_000053,2024-10-28,2024-11-27,2024-12-07,7990,7990,10,Paid Late
REP_00000226,TXN_00000226,RTL_000053,2024-11-20,2024-12-20,2024-12-28,7873,7873,8,Paid Late
REP_00000227,TXN_00000227,RTL_000053,2024-11-28,2024-12-28,2025-01-05,4270,4270,8,Paid Late
