transaction_id,retailer_id,order_date,order_amount,num_products,product_categories,manufacturers,payment_method,credit_used,order_number
TXN_00000025,RTL_000005,2024-12-05,6236,4,Confectionery|Dairy|Cooking Ingredients|Grains & Pasta,Flour Mills|Nestle|Coca-Cola,BNPL,6236,14
TXN_00000026,RTL_000005,2024-12-10,5835,2,Grains & Pasta|Confectionery,Coca-Cola|Flour Mills,BNPL,5835,15
TXN_00000027,RTL_000005,2024-12-11,7417,4,Baby Products|Beverages|Snacks|Personal Care,Nestle|Nigerian Breweries|PZ Cussons,BNPL,7417,16
TXN_00000028,RTL_000005,2024-12-16,5623,2,Confectionery|Personal Care,Unilever|Flour Mills,BNPL,5623,17
TXN_00000029,RTL_000005,2024-12-20,6885,1,Dairy,Flour Mills,BNPL,6885,18
TXN_00000030,RTL_000005,2024-12-27,9153,5,Cooking Ingredients|Household Items|Dairy|Beverages|Frozen Foods,Nestle|Chi Limited|PZ Cussons,BNPL,9153,19
TXN_00000031,RTL_000008,2024-11-25,9864,3,Cooking Ingredients|Confectionery|Frozen Foods,Procter & Gamble|Unilever|Cadbury,BNPL,9864,1
TXN_00000032,RTL_000008,2024-11-27,12041,1,Confectionery,Unilever,BNPL,12041,2
TXN_00000033,RTL_000008,2024-12-04,7763,3,Cooking Ingredients|Dairy|Snacks,Chi Limited|Cadbury|Dangote,BNPL,7763,3
TXN_00000034,RTL_000008,2024-12-04,9545,3,Beverages|Personal Care|Dairy,PZ Cussons|Coca-Cola|Dangote,BNPL,9545,4
TXN_00000035,RTL_000008,2024-12-08,6297,2,Personal Care|Cooking Ingredients,Nigerian Breweries|Flour Mills,BNPL,6297,5
TXN_00000036,RTL_000008,2024-12-08,3940,3,Baby Products|Cooking Ingredients|Dairy,Nestle|Cadbury|Flour Mills,BNPL,3940,6
TXN_00000037,RTL_000008,2024-12-09,5776,5,Cooking Ingredients|Dairy|Grains & Pasta|Household Items|Baby Products,Flour Mills|Nestle|Coca-Cola,BNPL,5776,7
TXN_00000038,RTL_000008,2024-12-09,11693,5,Confectionery|Household Items|Frozen Foods|Cooking Ingredients|Beverages,PZ Cussons|Coca-Cola|Cadbury,BNPL,11693,8
TXN_00000039,RTL_000008,2024-12-10,4676,1,Personal Care,Chi Limited,BNPL,4676,9
TXN_00000040,RTL_000008,2024-12-12,8565,1,Baby Products,Cadbury,BNPL,8565,10
TXN_00000041,RTL_000008,2024-12-23,1000,2,Personal Care|Snacks,Flour Mills|Unilever,BNPL,1000,11
TXN_00000042,RTL_000013,2024-12-14,18220,5,Dairy|Baby Products|Personal Care|Household Items|Confectionery,PZ Cussons|Nigerian Breweries|Dangote,BNPL,18220,1
TXN_00000043,RTL_000013,2024-12-14,10018,2,Cooking Ingredients|Dairy,Cadbury|Procter & Gamble,BNPL,10018,2
TXN_00000044,RTL_000013,2024-12-15,14824,5,Grains & Pasta|Confectionery|Beverages|Personal Care|Dairy,Procter & Gamble|Nestle|PZ Cussons,BNPL,14824,3
TXN_00000045,RTL_000013,2024-12-16,15978,1,Confectionery,Nestle,BNPL,15978,4
TXN_00000046,RTL_000013,2024-12-17,21037,4,Confectionery|Personal Care|Household Items|Baby Products,Coca-Cola|Unilever|Nestle,BNPL,21037,5
TXN_00000047,RTL_000013,2024-12-17,8990,4,Snacks|Personal Care|Baby Products|Frozen Foods,Dangote|Chi Limited|Coca-Cola,BNPL,8990,6
TXN_00000048,RTL_000013,2024-12-17,17229,5,Dairy|Baby Products|Frozen Foods|Confectionery|Beverages,PZ Cussons|Dangote|Procter & Gamble,BNPL,17229,7
TXN_00000049,RTL_000013,2024-12-21,7253,3,Frozen Foods|Dairy|Baby Products,Unilever|Nestle|Dangote,BNPL,7253,8
TXN_00000050,RTL_000013,2024-12-23,19648,1,Baby Products,Cadbury,BNPL,19648,9
TXN_00000051,RTL_000013,2024-12-24,6743,3,Cooking Ingredients|Beverages|Household Items,Chi Limited|Dangote|Cadbury,BNPL,6743,10
TXN_00000052,RTL_000013,2024-12-24,12057,1,Beverages,Nigerian Breweries,BNPL,12057,11
TXN_00000053,RTL_000013,2024-12-25,13408,3,Frozen Foods|Snacks|Dairy,Unilever|Coca-Cola|Nigerian Breweries,BNPL,13408,12
TXN_00000054,RTL_000013,2024-12-25,12139,5,Household Items|Confectionery|Personal Care|Grains & Pasta|Cooking Ingredients,Cadbury|Procter & Gamble|Chi Limited,BNPL,12139,13
TXN_00000055,RTL_000014,2024-09-18,4000,4,Grains & Pasta|Household Items|Frozen Foods|Baby Products,Procter & Gamble|Flour Mills|Nigerian Breweries,BNPL,4000,1
TXN_00000056,RTL_000014,2024-09-30,7702,3,Baby Products|Snacks|Confectionery,Nigerian Breweries|Unilever|PZ Cussons,BNPL,7702,2
TXN_00000057,RTL_000014,2024-10-22,4647,5,Personal Care|Baby Products|Grains & Pasta|Household Items|Beverages,Coca-Cola|Chi Limited|Nestle,BNPL,4647,3
TXN_00000058,RTL_000014,2024-11-17,5839,4,Cooking Ingredients|Confectionery|Personal Care|Snacks,Unilever|Chi Limited|Coca-Cola,BNPL,5839,4
TXN_00000059,RTL_000014,2024-12-09,3917,3,Beverages|Baby Products|Confectionery,Nestle|Flour Mills|Unilever,BNPL,3917,5
TXN_00000060,RTL_000014,2024-12-20,8299,1,Confectionery,Dangote,BNPL,8299,6
TXN_00000061,RTL_000014,2024-12-25,5919,3,Grains & Pasta|Frozen Foods|Baby Products,Procter & Gamble|Dangote|Cadbury,BNPL,5919,7
TXN_00000062,RTL_000017,2024-08-06,4729,4,Confectionery|Personal Care|Household Items|Beverages,Coca-Cola|Flour Mills|Dangote,BNPL,4729,1
TXN_00000063,RTL_000017,2024-08-18,4357,2,Household Items|Baby Products,Coca-Cola|Nestle,BNPL,4357,2
TXN_00000064,RTL_000017,2024-09-17,4539,4,Snacks|Frozen Foods|Baby Products|Dairy,Nigerian Breweries|Flour Mills|Chi Limited,BNPL,4539,3
TXN_00000065,RTL_000017,2024-09-29,5176,3,Confectionery|Baby Products|Cooking Ingredients,Procter & Gamble|Dangote|Nestle,BNPL,5176,4
TXN_00000066,RTL_000020,2024-09-17,24650,1,Grains & Pasta,Nestle,BNPL,24650,1
TXN_00000067,RTL_000020,2024-09-17,35655,2,Confectionery|Dairy,PZ Cussons|Procter & Gamble,BNPL,35655,2
TXN_00000068,RTL_000020,2024-09-20,25212,5,Grains & Pasta|Confectionery|Snacks|Dairy|Beverages,Procter & Gamble|Cadbury|PZ Cussons,BNPL,25212,3
TXN_00000069,RTL_000020,2024-09-25,16412,4,Frozen Foods|Baby Products|Confectionery|Cooking Ingredients,Dangote|Flour Mills|Chi Limited,BNPL,16412,4
TXN_00000070,RTL_000020,2024-10-16,26696,1,Baby Products,Cadbury,BNPL,26696,5
TXN_00000071,RTL_000020,2024-10-28,14245,4,Personal Care|Household Items|Dairy|Frozen Foods,Flour Mills|PZ Cussons|Cadbury,BNPL,14245,6
TXN_00000072,RTL_000020,2024-11-01,26637,4,Snacks|Baby Products|Frozen Foods|Confectionery,Unilever|Cadbury|Nigerian Breweries,BNPL,26637,7
TXN_00000073,RTL_000020,2024-11-14,15684,3,Snacks|Frozen Foods|Cooking Ingredients,PZ Cussons|Procter & Gamble|Nigerian Breweries,BNPL,15684,8
TXN_00000074,RTL_000020,2024-11-30,34542,1,Personal Care,Nigerian Breweries,BNPL,34542,9
TXN_00000075,RTL_000020,2024-12-02,24932,4,Cooking Ingredients|Frozen Foods|Snacks|Confectionery,Nestle|Chi Limited|Dangote,BNPL,24932,10
TXN_00000076,RTL_000020,2024-12-02,35678,2,Personal Care|Confectionery,Nigerian Breweries|Flour Mills,BNPL,35678,11
TXN_00000077,RTL_000020,2024-12-04,25716,5,Personal Care|Confectionery|Baby Products|Beverages|Frozen Foods,Cadbury|Procter & Gamble|PZ Cussons,BNPL,25716,12
TXN_00000078,RTL_000020,2024-12-10,17155,3,Frozen Foods|Baby Products|Personal Care,Nestle|Procter & Gamble|Unilever,BNPL,17155,13
TXN_00000079,RTL_000020,2024-12-11,15814,2,Grains & Pasta|Dairy,Unilever|PZ Cussons,BNPL,15814,14
TXN_00000080,RTL_000020,2024-12-27,14561,1,Dairy,Unilever,BNPL,14561,15
TXN_00000081,RTL_000023,2024-11-04,13266,5,Baby Products|Cooking Ingredients|Dairy|Confectionery|Personal Care,PZ Cussons|Procter & Gamble|Cadbury,BNPL,13266,1
TXN_00000082,RTL_000023,2024-11-04,12498,3,Grains & Pasta|Dairy|Cooking Ingredients,Coca-Cola|Dangote|Cadbury,BNPL,12498,2
TXN_00000083,RTL_000023,2024-11-05,16859,4,Dairy|Beverages|Snacks|Cooking Ingredients,Procter & Gamble|Chi Limited|Coca-Cola,BNPL,16859,3
TXN_00000084,RTL_000023,2024-11-20,15571,5,Beverages|Dairy|Personal Care|Confectionery|Snacks,Nestle|Chi Limited|PZ Cussons,BNPL,15571,4
TXN_00000085,RTL_000023,2024-11-22,9956,2,Dairy|Frozen Foods,Procter & Gamble|Dangote,BNPL,9956,5
TXN_00000086,RTL_000023,2024-11-22,11655,2,Cooking Ingredients|Grains & Pasta,Dangote|Chi Limited,BNPL,11655,6
TXN_00000087,RTL_000023,2024-12-01,12426,5,Grains & Pasta|Beverages|Personal Care|Cooking Ingredients|Confectionery,PZ Cussons|Dangote|Chi Limited,BNPL,12426,7
TXN_00000088,RTL_000023,2024-12-01,15614,1,Beverages,Flour Mills,BNPL,15614,8
TXN_00000089,RTL_000023,2024-12-02,13326,1,Personal Care,Dangote,BNPL,13326,9
TXN_00000090,RTL_000023,2024-12-06,19180,3,Cooking Ingredients|Beverages|Baby Products,Flour Mills|PZ Cussons|Procter & Gamble,BNPL,19180,10
TXN_00000091,RTL_000023,2024-12-08,8661,4,Personal Care|Dairy|Grains & Pasta|Cooking Ingredients,Chi Limited|Coca-Cola|Nestle,BNPL,8661,11
TXN_00000092,RTL_000023,2024-12-13,14468,2,Baby Products|Cooking Ingredients,Procter & Gamble|Coca-Cola,BNPL,14468,12
TXN_00000093,RTL_000023,2024-12-14,10534,3,Frozen Foods|Dairy|Confectionery,Flour Mills|Coca-Cola|Procter & Gamble,BNPL,10534,13
TXN_00000094,RTL_000023,2024-12-17,19909,5,Cooking Ingredients|Dairy|Frozen Foods|Confectionery|Household Items,Nestle|Unilever|Nigerian Breweries,BNPL,19909,14
TXN_00000095,RTL_000023,2024-12-22,12988,5,Confectionery|Household Items|Dairy|Frozen Foods|Personal Care,Dangote|Flour Mills|Nigerian Breweries,BNPL,12988,15
TXN_00000096,RTL_000023,2024-12-23,10574,4,Beverages|Cooking Ingredients|Baby Products|Frozen Foods,Cadbury|PZ Cussons|Procter & Gamble,BNPL,10574,16
TXN_00000097,RTL_000023,2024-12-26,12359,4,Confectionery|Baby Products|Frozen Foods|Personal Care,Cadbury|Dangote|PZ Cussons,BNPL,12359,17
TXN_00000098,RTL_000023,2024-12-27,8243,4,Beverages|Grains & Pasta|Baby Products|Confectionery,Procter & Gamble|PZ Cussons|Dangote,BNPL,8243,18
TXN_00000099,RTL_000023,2024-12-29,5637,3,Baby Products|Frozen Foods|Beverages,Nestle|Coca-Cola|Procter & Gamble,BNPL,5637,19
TXN_00000100,RTL_000027,2024-09-30,14654,2,Baby Products|Personal Care,Flour Mills|Coca-Cola,BNPL,14654,1
TXN_00000101,RTL_000027,2024-10-06,17023,3,Household Items|Frozen Foods|Confectionery,Flour Mills|PZ Cussons|Coca-Cola,BNPL,17023,2
TXN_00000102,RTL_000027,2024-10-12,16343,2,Snacks|Beverages,Coca-Cola|Cadbury,BNPL,16343,3
TXN_00000103,RTL_000027,2024-10-21,22773,3,Cooking Ingredients|Personal Care|Snacks,PZ Cussons|Procter & Gamble|Nigerian Breweries,BNPL,22773,4
TXN_00000104,RTL_000027,2024-10-21,20912,1,Beverages,Coca-Cola,BNPL,20912,5
TXN_00000105,RTL_000027,2024-10-31,9969,3,Frozen Foods|Baby Products|Household Items,Nestle|Nigerian Breweries|Coca-Cola,BNPL,9969,6
TXN_00000106,RTL_000027,2024-11-01,14146,3,Personal Care|Beverages|Household Items,PZ Cussons|Nestle|Procter & Gamble,BNPL,14146,7
TXN_00000107,RTL_000027,2024-11-10,15841,3,Frozen Foods|Confectionery|Snacks,Flour Mills|Nestle|Unilever,BNPL,15841,8
TXN_00000108,RTL_000027,2024-11-15,6665,4,Beverages|Personal Care|Frozen Foods|Dairy,Procter & Gamble|Unilever|Nigerian Breweries,BNPL,6665,9
TXN_00000109,RTL_000027,2024-11-17,15956,2,Dairy|Baby Products,Chi Limited|Nigerian Breweries,BNPL,15956,10
TXN_00000110,RTL_000027,2024-11-19,17141,5,Personal Care|Dairy|Cooking Ingredients|Beverages|Household Items,Chi Limited|Cadbury|Nigerian Breweries,BNPL,17141,11
TXN_00000111,RTL_000027,2024-11-21,21410,2,Grains & Pasta|Baby Products,PZ Cussons|Unilever,BNPL,21410,12
TXN_00000112,RTL_000027,2024-11-21,15999,5,Frozen Foods|Baby Products|Grains & Pasta|Beverages|Snacks,Unilever|Procter & Gamble|Chi Limited,BNPL,15999,13
TXN_00000113,RTL_000027,2024-11-22,12667,1,Household Items,Cadbury,BNPL,12667,14
TXN_00000114,RTL_000027,2024-11-24,6851,2,Household Items|Beverages,Nigerian Breweries|Procter & Gamble,BNPL,6851,15
TXN_00000115,RTL_000027,2024-11-25,15064,2,Personal Care|Frozen Foods,Nigerian Breweries|Unilever,BNPL,15064,16
TXN_00000116,RTL_000027,2024-11-30,5530,3,Frozen Foods|Cooking Ingredients|Confectionery,Cadbury|Dangote|PZ Cussons,BNPL,5530,17
TXN_00000117,RTL_000027,2024-12-04,10120,2,Cooking Ingredients|Household Items,PZ Cussons|Chi Limited,BNPL,10120,18
TXN_00000118,RTL_000027,2024-12-07,8002,5,Snacks|Confectionery|Cooking Ingredients|Beverages|Grains & Pasta,Nestle|Coca-Cola|Cadbury,BNPL,8002,19
TXN_00000119,RTL_000027,2024-12-08,17457,5,Dairy|Beverages|Snacks|Personal Care|Frozen Foods,Procter & Gamble|Flour Mills|PZ Cussons,BNPL,17457,20
TXN_00000120,RTL_000027,2024-12-11,13055,3,Frozen Foods|Confectionery|Household Items,Chi Limited|Flour Mills|Nigerian Breweries,BNPL,13055,21
TXN_00000121,RTL_000027,2024-12-13,13592,5,Dairy|Cooking Ingredients|Personal Care|Grains & Pasta|Snacks,Unilever|Nigerian Breweries|Chi Limited,BNPL,13592,22
TXN_00000122,RTL_000027,2024-12-16,11771,1,Personal Care,Cadbury,BNPL,11771,23
TXN_00000123,RTL_000027,2024-12-17,19247,1,Dairy,Nestle,BNPL,19247,24
TXN_00000124,RTL_000027,2024-12-20,11021,3,Baby Products|Confectionery|Beverages,Nestle|Coca-Cola|Nigerian Breweries,BNPL,11021,25
TXN_00000125,RTL_000027,2024-12-24,7967,1,Household Items,PZ Cussons,BNPL,7967,26
TXN_00000126,RTL_000027,2024-12-25,14351,5,Personal Care|Cooking Ingredients|Beverages|Baby Products|Grains & Pasta,Procter & Gamble|PZ Cussons|Coca-Cola,BNPL,14351,27
TXN_00000127,RTL_000027,2024-12-28,16718,2,Frozen Foods|Snacks,PZ Cussons|Chi Limited,BNPL,16718,28
TXN_00000128,RTL_000028,2024-12-15,3022,5,Baby Products|Frozen Foods|Confectionery|Personal Care|Dairy,Cadbury|Coca-Cola|Nigerian Breweries,BNPL,3022,1
TXN_00000129,RTL_000028,2024-12-26,4199,2,Personal Care|Snacks,Dangote|Cadbury,BNPL,4199,2
TXN_00000130,RTL_000031,2024-09-20,22657,3,Personal Care|Cooking Ingredients|Household Items,Cadbury|Flour Mills|PZ Cussons,BNPL,22657,1
TXN_00000131,RTL_000031,2024-10-05,27513,3,Frozen Foods|Dairy|Personal Care,PZ Cussons|Dangote|Cadbury,BNPL,27513,2
TXN_00000132,RTL_000031,2024-10-05,26190,3,Frozen Foods|Baby Products|Snacks,Procter & Gamble|Coca-Cola|Dangote,BNPL,26190,3
TXN_00000133,RTL_000031,2024-10-11,17812,1,Confectionery,Dangote,BNPL,17812,4
TXN_00000134,RTL_000031,2024-10-12,12323,2,Dairy|Frozen Foods,Chi Limited|Unilever,BNPL,12323,5
TXN_00000135,RTL_000031,2024-10-16,17559,4,Confectionery|Household Items|Cooking Ingredients|Baby Products,Unilever|Chi Limited|Coca-Cola,BNPL,17559,6
TXN_00000136,RTL_000031,2024-10-17,22582,3,Snacks|Personal Care|Household Items,Dangote|Cadbury|PZ Cussons,BNPL,22582,7
TXN_00000137,RTL_000031,2024-10-19,16404,4,Dairy|Beverages|Household Items|Frozen Foods,Chi Limited|PZ Cussons|Procter & Gamble,BNPL,16404,8
TXN_00000138,RTL_000031,2024-10-21,10867,5,Frozen Foods|Cooking Ingredients|Grains & Pasta|Confectionery|Snacks,Unilever|Cadbury|Procter & Gamble,BNPL,10867,9
TXN_00000139,RTL_000031,2024-10-25,19116,5,Household Items|Personal Care|Grains & Pasta|Snacks|Beverages,Nestle|Unilever|Chi Limited,BNPL,19116,10
TXN_00000140,RTL_000031,2024-10-26,13440,2,Frozen Foods|Cooking Ingredients,Nestle|Unilever,BNPL,13440,11
TXN_00000141,RTL_000031,2024-10-28,16975,2,Dairy|Confectionery,Chi Limited|Procter & Gamble,BNPL,16975,12
TXN_00000142,RTL_000031,2024-11-01,11077,1,Grains & Pasta,Dangote,BNPL,11077,13
TXN_00000143,RTL_000031,2024-11-09,18376,4,Household Items|Frozen Foods|Cooking Ingredients|Beverages,Procter & Gamble|PZ Cussons|Coca-Cola,BNPL,18376,14
TXN_00000144,RTL_000031,2024-11-09,10997,4,Baby Products|Personal Care|Dairy|Household Items,PZ Cussons|Dangote|Nestle,BNPL,10997,15
TXN_00000145,RTL_000031,2024-11-11,16605,4,Frozen Foods|Baby Products|Dairy|Household Items,Unilever|Coca-Cola|Procter & Gamble,BNPL,16605,16
TXN_00000146,RTL_000031,2024-11-12,13916,2,Cooking Ingredients|Frozen Foods,Chi Limited|Nestle,BNPL,13916,17
TXN_00000147,RTL_000031,2024-11-18,21407,1,Household Items,Cadbury,BNPL,21407,18
TXN_00000148,RTL_000031,2024-11-27,20631,3,Grains & Pasta|Beverages|Cooking Ingredients,Flour Mills|Unilever|Chi Limited,BNPL,20631,19
TXN_00000149,RTL_000031,2024-12-04,17864,4,Household Items|Frozen Foods|Cooking Ingredients|Dairy,Unilever|Coca-Cola|Nestle,BNPL,17864,20
TXN_00000150,RTL_000031,2024-12-06,21816,3,Frozen Foods|Grains & Pasta|Dairy,Nestle|Unilever|Coca-Cola,BNPL,21816,21
TXN_00000151,RTL_000031,2024-12-12,26050,1,Frozen Foods,Nestle,BNPL,26050,22
TXN_00000152,RTL_000031,2024-12-22,14765,3,Frozen Foods|Grains & Pasta|Dairy,Procter & Gamble|Cadbury|Flour Mills,BNPL,14765,23
TXN_00000153,RTL_000031,2024-12-28,23768,2,Confectionery|Cooking Ingredients,Procter & Gamble|Dangote,BNPL,23768,24
TXN_00000154,RTL_000033,2024-12-10,3548,4,Frozen Foods|Dairy|Personal Care|Household Items,Nigerian Breweries|Flour Mills|Nestle,BNPL,3548,1
TXN_00000155,RTL_000033,2024-12-15,2198,5,Baby Products|Grains & Pasta|Cooking Ingredients|Frozen Foods|Personal Care,Dangote|Flour Mills|Cadbury,BNPL,2198,2
TXN_00000156,RTL_000033,2024-12-20,4927,2,Household Items|Beverages,Coca-Cola|Chi Limited,BNPL,4927,3
TXN_00000157,RTL_000035,2024-08-19,4491,3,Household Items|Personal Care|Grains & Pasta,Flour Mills|Coca-Cola|Unilever,BNPL,4491,1
TXN_00000158,RTL_000035,2024-09-12,3032,4,Personal Care|Snacks|Grains & Pasta|Confectionery,Dangote|PZ Cussons|Cadbury,BNPL,3032,2
TXN_00000159,RTL_000037,2024-12-30,5891,1,Personal Care,Nigerian Breweries,BNPL,5891,1
TXN_00000160,RTL_000037,2024-12-30,5046,4,Grains & Pasta|Frozen Foods|Dairy|Cooking Ingredients,Coca-Cola|Chi Limited|Procter & Gamble,BNPL,5046,2
TXN_00000161,RTL_000037,2024-12-30,7509,4,Baby Products|Household Items|Beverages|Dairy,Coca-Cola|Procter & Gamble|Nestle,BNPL,7509,3
TXN_00000162,RTL_000037,2024-12-30,6376,2,Household Items|Confectionery,Unilever|Procter & Gamble,BNPL,6376,4
TXN_00000163,RTL_000037,2024-12-30,6256,5,Confectionery|Snacks|Beverages|Dairy|Baby Products,PZ Cussons|Nigerian Breweries|Flour Mills,BNPL,6256,5
TXN_00000164,RTL_000037,2024-12-30,8399,3,Beverages|Cooking Ingredients|Grains & Pasta,Coca-Cola|Chi Limited|PZ Cussons,BNPL,8399,6
TXN_00000165,RTL_000037,2024-12-30,6284,2,Dairy|Grains & Pasta,Unilever|PZ Cussons,BNPL,6284,7
TXN_00000166,RTL_000037,2024-12-30,5330,5,Grains & Pasta|Beverages|Snacks|Baby Products|Confectionery,PZ Cussons|Nigerian Breweries|Unilever,BNPL,5330,8
TXN_00000167,RTL_000037,2024-12-30,5952,4,Snacks|Confectionery|Household Items|Dairy,Procter & Gamble|Nestle|PZ Cussons,BNPL,5952,9
TXN_00000168,RTL_000037,2024-12-30,5676,2,Grains & Pasta|Frozen Foods,PZ Cussons|Flour Mills,BNPL,5676,10
TXN_00000169,RTL_000037,2024-12-30,3681,2,Confectionery|Snacks,PZ Cussons|Chi Limited,BNPL,3681,11
TXN_00000170,RTL_000037,2024-12-30,5349,1,Cooking Ingredients,Dangote,BNPL,5349,12
TXN_00000171,RTL_000037,2024-12-30,4602,2,Dairy|Personal Care,Unilever|Nestle,BNPL,4602,13
TXN_00000172,RTL_000038,2024-08-29,4195,1,Cooking Ingredients,Unilever,BNPL,4195,1
TXN_00000173,RTL_000038,2024-09-06,10104,2,Household Items|Personal Care,Cadbury|Chi Limited,BNPL,10104,2
TXN_00000174,RTL_000038,2024-09-09,11981,4,Snacks|Cooking Ingredients|Baby Products|Beverages,Unilever|Nigerian Breweries|PZ Cussons,BNPL,11981,3
TXN_00000175,RTL_000038,2024-09-20,11792,1,Grains & Pasta,PZ Cussons,BNPL,11792,4
TXN_00000176,RTL_000038,2024-09-24,11476,3,Snacks|Personal Care|Frozen Foods,Unilever|Nigerian Breweries|Procter & Gamble,BNPL,11476,5
TXN_00000177,RTL_000038,2024-09-26,8204,5,Snacks|Baby Products|Beverages|Frozen Foods|Personal Care,Nigerian Breweries|Flour Mills|Cadbury,BNPL,8204,6
TXN_00000178,RTL_000038,2024-09-28,9599,3,Confectionery|Personal Care|Grains & Pasta,Nestle|Coca-Cola|Procter & Gamble,BNPL,9599,7
TXN_00000179,RTL_000038,2024-09-29,11860,3,Cooking Ingredients|Dairy|Household Items,Procter & Gamble|Dangote|PZ Cussons,BNPL,11860,8
TXN_00000180,RTL_000038,2024-10-04,9296,5,Personal Care|Frozen Foods|Household Items|Cooking Ingredients|Snacks,Cadbury|Nestle|Procter & Gamble,BNPL,9296,9
TXN_00000181,RTL_000038,2024-10-07,12489,1,Cooking Ingredients,Chi Limited,BNPL,12489,10
TXN_00000182,RTL_000038,2024-10-14,10539,1,Grains & Pasta,Nigerian Breweries,BNPL,10539,11
TXN_00000183,RTL_000038,2024-10-15,8873,2,Confectionery|Grains & Pasta,Flour Mills|Chi Limited,BNPL,8873,12
TXN_00000184,RTL_000038,2024-10-18,12827,2,Grains & Pasta|Personal Care,Unilever|Chi Limited,BNPL,12827,13
TXN_00000185,RTL_000038,2024-10-19,7601,2,Snacks|Personal Care,Flour Mills|Chi Limited,BNPL,7601,14
TXN_00000186,RTL_000038,2024-10-23,8284,2,Cooking Ingredients|Frozen Foods,Chi Limited|Cadbury,BNPL,8284,15
TXN_00000187,RTL_000038,2024-10-26,11022,4,Dairy|Confectionery|Personal Care|Frozen Foods,Nestle|Flour Mills|Nigerian Breweries,BNPL,11022,16
TXN_00000188,RTL_000038,2024-11-02,10110,1,Grains & Pasta,Nigerian Breweries,BNPL,10110,17
TXN_00000189,RTL_000038,2024-11-03,5394,5,Dairy|Personal Care|Household Items|Frozen Foods|Confectionery,Coca-Cola|Nestle|Flour Mills,BNPL,5394,18
